university,department_code,url
ivytechindianapolis,ACCT,https://www.coursicle.com/ivytechindianapolis/courses/ACCT/
ivytechindianapolis,ADMF,https://www.coursicle.com/ivytechindianapolis/courses/ADMF/
ivytechindianapolis,AGRI,https://www.coursicle.com/ivytechindianapolis/courses/AGRI/
ivytechindianapolis,ANTH,https://www.coursicle.com/ivytechindianapolis/courses/ANTH/
ivytechindianapolis,APHY,https://www.coursicle.com/ivytechindianapolis/courses/APHY/
ivytechindianapolis,ARAB,https://www.coursicle.com/ivytechindianapolis/courses/ARAB/
ivytechindianapolis,ARTH,https://www.coursicle.com/ivytechindianapolis/courses/ARTH/
ivytechindianapolis,ARTS,https://www.coursicle.com/ivytechindianapolis/courses/ARTS/
ivytechindianapolis,ASTR,https://www.coursicle.com/ivytechindianapolis/courses/ASTR/
ivytechindianapolis,AUTC,https://www.coursicle.com/ivytechindianapolis/courses/AUTC/
ivytechindianapolis,AUTI,https://www.coursicle.com/ivytechindianapolis/courses/AUTI/
ivytechindianapolis,AVIM,https://www.coursicle.com/ivytechindianapolis/courses/AVIM/
ivytechindianapolis,BCOM,https://www.coursicle.com/ivytechindianapolis/courses/BCOM/
ivytechindianapolis,BIOL,https://www.coursicle.com/ivytechindianapolis/courses/BIOL/
ivytechindianapolis,BIOT,https://www.coursicle.com/ivytechindianapolis/courses/BIOT/
ivytechindianapolis,BOAT,https://www.coursicle.com/ivytechindianapolis/courses/BOAT/
ivytechindianapolis,BUSI,https://www.coursicle.com/ivytechindianapolis/courses/BUSI/
ivytechindianapolis,BUSN,https://www.coursicle.com/ivytechindianapolis/courses/BUSN/
ivytechindianapolis,CARD,https://www.coursicle.com/ivytechindianapolis/courses/CARD/
ivytechindianapolis,CATX,https://www.coursicle.com/ivytechindianapolis/courses/CATX/
ivytechindianapolis,CHEM,https://www.coursicle.com/ivytechindianapolis/courses/CHEM/
ivytechindianapolis,CINS,https://www.coursicle.com/ivytechindianapolis/courses/CINS/
ivytechindianapolis,COMM,https://www.coursicle.com/ivytechindianapolis/courses/COMM/
ivytechindianapolis,COMP,https://www.coursicle.com/ivytechindianapolis/courses/COMP/
ivytechindianapolis,CPIN,https://www.coursicle.com/ivytechindianapolis/courses/CPIN/
ivytechindianapolis,CPTR,https://www.coursicle.com/ivytechindianapolis/courses/CPTR/
ivytechindianapolis,CRIM,https://www.coursicle.com/ivytechindianapolis/courses/CRIM/
ivytechindianapolis,CSCI,https://www.coursicle.com/ivytechindianapolis/courses/CSCI/
ivytechindianapolis,CSIA,https://www.coursicle.com/ivytechindianapolis/courses/CSIA/
ivytechindianapolis,DBMS,https://www.coursicle.com/ivytechindianapolis/courses/DBMS/
ivytechindianapolis,DESN,https://www.coursicle.com/ivytechindianapolis/courses/DESN/
ivytechindianapolis,ECED,https://www.coursicle.com/ivytechindianapolis/courses/ECED/
ivytechindianapolis,ECON,https://www.coursicle.com/ivytechindianapolis/courses/ECON/
ivytechindianapolis,EDUC,https://www.coursicle.com/ivytechindianapolis/courses/EDUC/
ivytechindianapolis,EECT,https://www.coursicle.com/ivytechindianapolis/courses/EECT/
ivytechindianapolis,EETC,https://www.coursicle.com/ivytechindianapolis/courses/EETC/
ivytechindianapolis,ENGL,https://www.coursicle.com/ivytechindianapolis/courses/ENGL/
ivytechindianapolis,ENGR,https://www.coursicle.com/ivytechindianapolis/courses/ENGR/
ivytechindianapolis,ENRG,https://www.coursicle.com/ivytechindianapolis/courses/ENRG/
ivytechindianapolis,ENTR,https://www.coursicle.com/ivytechindianapolis/courses/ENTR/
ivytechindianapolis,ESOL,https://www.coursicle.com/ivytechindianapolis/courses/ESOL/
ivytechindianapolis,FOUN,https://www.coursicle.com/ivytechindianapolis/courses/FOUN/
ivytechindianapolis,FREN,https://www.coursicle.com/ivytechindianapolis/courses/FREN/
ivytechindianapolis,GENS,https://www.coursicle.com/ivytechindianapolis/courses/GENS/
ivytechindianapolis,GEOG,https://www.coursicle.com/ivytechindianapolis/courses/GEOG/
ivytechindianapolis,GEOL,https://www.coursicle.com/ivytechindianapolis/courses/GEOL/
ivytechindianapolis,GLOB,https://www.coursicle.com/ivytechindianapolis/courses/GLOB/
ivytechindianapolis,HIMT,https://www.coursicle.com/ivytechindianapolis/courses/HIMT/
ivytechindianapolis,HIST,https://www.coursicle.com/ivytechindianapolis/courses/HIST/
ivytechindianapolis,HLHS,https://www.coursicle.com/ivytechindianapolis/courses/HLHS/
ivytechindianapolis,HLTH,https://www.coursicle.com/ivytechindianapolis/courses/HLTH/
ivytechindianapolis,HOSP,https://www.coursicle.com/ivytechindianapolis/courses/HOSP/
ivytechindianapolis,HOTO,https://www.coursicle.com/ivytechindianapolis/courses/HOTO/
ivytechindianapolis,HSPS,https://www.coursicle.com/ivytechindianapolis/courses/HSPS/
ivytechindianapolis,HUMA,https://www.coursicle.com/ivytechindianapolis/courses/HUMA/
ivytechindianapolis,HUMS,https://www.coursicle.com/ivytechindianapolis/courses/HUMS/
ivytechindianapolis,HVAC,https://www.coursicle.com/ivytechindianapolis/courses/HVAC/
ivytechindianapolis,IDOC,https://www.coursicle.com/ivytechindianapolis/courses/IDOC/
ivytechindianapolis,INDT,https://www.coursicle.com/ivytechindianapolis/courses/INDT/
ivytechindianapolis,INFM,https://www.coursicle.com/ivytechindianapolis/courses/INFM/
ivytechindianapolis,ITSP,https://www.coursicle.com/ivytechindianapolis/courses/ITSP/
ivytechindianapolis,IVYT,https://www.coursicle.com/ivytechindianapolis/courses/IVYT/
ivytechindianapolis,LEGS,https://www.coursicle.com/ivytechindianapolis/courses/LEGS/
ivytechindianapolis,LIBA,https://www.coursicle.com/ivytechindianapolis/courses/LIBA/
ivytechindianapolis,LIBR,https://www.coursicle.com/ivytechindianapolis/courses/LIBR/
ivytechindianapolis,LOGM,https://www.coursicle.com/ivytechindianapolis/courses/LOGM/
ivytechindianapolis,MAMO,https://www.coursicle.com/ivytechindianapolis/courses/MAMO/
ivytechindianapolis,MATH,https://www.coursicle.com/ivytechindianapolis/courses/MATH/
ivytechindianapolis,MEAS,https://www.coursicle.com/ivytechindianapolis/courses/MEAS/
ivytechindianapolis,METC,https://www.coursicle.com/ivytechindianapolis/courses/METC/
ivytechindianapolis,MFIT,https://www.coursicle.com/ivytechindianapolis/courses/MFIT/
ivytechindianapolis,MKTG,https://www.coursicle.com/ivytechindianapolis/courses/MKTG/
ivytechindianapolis,MORT,https://www.coursicle.com/ivytechindianapolis/courses/MORT/
ivytechindianapolis,MPRO,https://www.coursicle.com/ivytechindianapolis/courses/MPRO/
ivytechindianapolis,MTTC,https://www.coursicle.com/ivytechindianapolis/courses/MTTC/
ivytechindianapolis,NETI,https://www.coursicle.com/ivytechindianapolis/courses/NETI/
ivytechindianapolis,NRSG,https://www.coursicle.com/ivytechindianapolis/courses/NRSG/
ivytechindianapolis,NSGA,https://www.coursicle.com/ivytechindianapolis/courses/NSGA/
ivytechindianapolis,NSGP,https://www.coursicle.com/ivytechindianapolis/courses/NSGP/
ivytechindianapolis,OTEC,https://www.coursicle.com/ivytechindianapolis/courses/OTEC/
ivytechindianapolis,OTHR,https://www.coursicle.com/ivytechindianapolis/courses/OTHR/
ivytechindianapolis,PARA,https://www.coursicle.com/ivytechindianapolis/courses/PARA/
ivytechindianapolis,PARM,https://www.coursicle.com/ivytechindianapolis/courses/PARM/
ivytechindianapolis,PERS,https://www.coursicle.com/ivytechindianapolis/courses/PERS/
ivytechindianapolis,PHAR,https://www.coursicle.com/ivytechindianapolis/courses/PHAR/
ivytechindianapolis,PHIL,https://www.coursicle.com/ivytechindianapolis/courses/PHIL/
ivytechindianapolis,PHLB,https://www.coursicle.com/ivytechindianapolis/courses/PHLB/
ivytechindianapolis,PHOT,https://www.coursicle.com/ivytechindianapolis/courses/PHOT/
ivytechindianapolis,PHYS,https://www.coursicle.com/ivytechindianapolis/courses/PHYS/
ivytechindianapolis,POLS,https://www.coursicle.com/ivytechindianapolis/courses/POLS/
