university,department_code,url
psu,AA,https://www.coursicle.com/psu/courses/AA/
psu,AAAS,https://www.coursicle.com/psu/courses/AAAS/
psu,ABE,https://www.coursicle.com/psu/courses/ABE/
psu,ABIOL,https://www.coursicle.com/psu/courses/ABIOL/
psu,ABSM,https://www.coursicle.com/psu/courses/ABSM/
psu,ACCTG,https://www.coursicle.com/psu/courses/ACCTG/
psu,ACS,https://www.coursicle.com/psu/courses/ACS/
psu,ADTED,https://www.coursicle.com/psu/courses/ADTED/
psu,AE,https://www.coursicle.com/psu/courses/AE/
psu,AED,https://www.coursicle.com/psu/courses/AED/
psu,AEE,https://www.coursicle.com/psu/courses/AEE/
psu,AEPS,https://www.coursicle.com/psu/courses/AEPS/
psu,AEREC,https://www.coursicle.com/psu/courses/AEREC/
psu,AERSP,https://www.coursicle.com/psu/courses/AERSP/
psu,AFAM,https://www.coursicle.com/psu/courses/AFAM/
psu,AFR,https://www.coursicle.com/psu/courses/AFR/
psu,AG,https://www.coursicle.com/psu/courses/AG/
psu,AGBM,https://www.coursicle.com/psu/courses/AGBM/
psu,AGCOM,https://www.coursicle.com/psu/courses/AGCOM/
psu,AGECO,https://www.coursicle.com/psu/courses/AGECO/
psu,AGRO,https://www.coursicle.com/psu/courses/AGRO/
psu,AGSC,https://www.coursicle.com/psu/courses/AGSC/
psu,AI,https://www.coursicle.com/psu/courses/AI/
psu,AIR,https://www.coursicle.com/psu/courses/AIR/
psu,AMD,https://www.coursicle.com/psu/courses/AMD/
psu,AMST,https://www.coursicle.com/psu/courses/AMST/
psu,ANSC,https://www.coursicle.com/psu/courses/ANSC/
psu,ANTH,https://www.coursicle.com/psu/courses/ANTH/
psu,APLNG,https://www.coursicle.com/psu/courses/APLNG/
psu,ARAB,https://www.coursicle.com/psu/courses/ARAB/
psu,ARCH,https://www.coursicle.com/psu/courses/ARCH/
psu,ARMY,https://www.coursicle.com/psu/courses/ARMY/
psu,ART,https://www.coursicle.com/psu/courses/ART/
psu,ARTH,https://www.coursicle.com/psu/courses/ARTH/
psu,ARTSA,https://www.coursicle.com/psu/courses/ARTSA/
psu,ASIA,https://www.coursicle.com/psu/courses/ASIA/
psu,ASM,https://www.coursicle.com/psu/courses/ASM/
psu,ASTRO,https://www.coursicle.com/psu/courses/ASTRO/
psu,ATHTR,https://www.coursicle.com/psu/courses/ATHTR/
psu,AYFCE,https://www.coursicle.com/psu/courses/AYFCE/
psu,BA,https://www.coursicle.com/psu/courses/BA/
psu,BAN,https://www.coursicle.com/psu/courses/BAN/
psu,BBH,https://www.coursicle.com/psu/courses/BBH/
psu,BE,https://www.coursicle.com/psu/courses/BE/
psu,BGEN,https://www.coursicle.com/psu/courses/BGEN/
psu,BIOE,https://www.coursicle.com/psu/courses/BIOE/
psu,BIOET,https://www.coursicle.com/psu/courses/BIOET/
psu,BIOL,https://www.coursicle.com/psu/courses/BIOL/
psu,BIOTC,https://www.coursicle.com/psu/courses/BIOTC/
psu,BISC,https://www.coursicle.com/psu/courses/BISC/
psu,BLAW,https://www.coursicle.com/psu/courses/BLAW/
psu,BMB,https://www.coursicle.com/psu/courses/BMB/
psu,BME,https://www.coursicle.com/psu/courses/BME/
psu,BMH,https://www.coursicle.com/psu/courses/BMH/
psu,BMMB,https://www.coursicle.com/psu/courses/BMMB/
