university,department_code,url
umn,AAS,https://www.coursicle.com/umn/courses/AAS/
umn,ABUS,https://www.coursicle.com/umn/courses/ABUS/
umn,ACCT,https://www.coursicle.com/umn/courses/ACCT/
umn,ACL,https://www.coursicle.com/umn/courses/ACL/
umn,ADDS,https://www.coursicle.com/umn/courses/ADDS/
umn,ADES,https://www.coursicle.com/umn/courses/ADES/
umn,ADPY,https://www.coursicle.com/umn/courses/ADPY/
umn,AECM,https://www.coursicle.com/umn/courses/AECM/
umn,AEM,https://www.coursicle.com/umn/courses/AEM/
umn,AFEE,https://www.coursicle.com/umn/courses/AFEE/
umn,AFRO,https://www.coursicle.com/umn/courses/AFRO/
umn,AGRO,https://www.coursicle.com/umn/courses/AGRO/
umn,AHS,https://www.coursicle.com/umn/courses/AHS/
umn,AIM,https://www.coursicle.com/umn/courses/AIM/
umn,AIR,https://www.coursicle.com/umn/courses/AIR/
umn,AKKA,https://www.coursicle.com/umn/courses/AKKA/
umn,ALL,https://www.coursicle.com/umn/courses/ALL/
umn,AMES,https://www.coursicle.com/umn/courses/AMES/
umn,AMIN,https://www.coursicle.com/umn/courses/AMIN/
umn,AMST,https://www.coursicle.com/umn/courses/AMST/
umn,ANAT,https://www.coursicle.com/umn/courses/ANAT/
umn,ANES,https://www.coursicle.com/umn/courses/ANES/
umn,ANSC,https://www.coursicle.com/umn/courses/ANSC/
umn,ANTH,https://www.coursicle.com/umn/courses/ANTH/
umn,APEC,https://www.coursicle.com/umn/courses/APEC/
umn,APS,https://www.coursicle.com/umn/courses/APS/
umn,APSC,https://www.coursicle.com/umn/courses/APSC/
umn,APST,https://www.coursicle.com/umn/courses/APST/
umn,ARAB,https://www.coursicle.com/umn/courses/ARAB/
umn,ARCH,https://www.coursicle.com/umn/courses/ARCH/
umn,ARTH,https://www.coursicle.com/umn/courses/ARTH/
umn,ARTS,https://www.coursicle.com/umn/courses/ARTS/
umn,ASCL,https://www.coursicle.com/umn/courses/ASCL/
umn,ASL,https://www.coursicle.com/umn/courses/ASL/
umn,AST,https://www.coursicle.com/umn/courses/AST/
umn,BA,https://www.coursicle.com/umn/courses/BA/
umn,BBE,https://www.coursicle.com/umn/courses/BBE/
umn,BICB,https://www.coursicle.com/umn/courses/BICB/
umn,BIOC,https://www.coursicle.com/umn/courses/BIOC/
