university,department_code,url
uottawaca,ADX,https://www.coursicle.com/uottawaca/courses/ADX/
uottawaca,AFR,https://www.coursicle.com/uottawaca/courses/AFR/
uottawaca,AHL,https://www.coursicle.com/uottawaca/courses/AHL/
uottawaca,ALG,https://www.coursicle.com/uottawaca/courses/ALG/
uottawaca,AMM,https://www.coursicle.com/uottawaca/courses/AMM/
uottawaca,AMT,https://www.coursicle.com/uottawaca/courses/AMT/
uottawaca,ANP,https://www.coursicle.com/uottawaca/courses/ANP/
uottawaca,ANT,https://www.coursicle.com/uottawaca/courses/ANT/
uottawaca,APA,https://www.coursicle.com/uottawaca/courses/APA/
uottawaca,API,https://www.coursicle.com/uottawaca/courses/API/
uottawaca,ARB,https://www.coursicle.com/uottawaca/courses/ARB/
uottawaca,ART,https://www.coursicle.com/uottawaca/courses/ART/
uottawaca,ASE,https://www.coursicle.com/uottawaca/courses/ASE/
uottawaca,ASI,https://www.coursicle.com/uottawaca/courses/ASI/
uottawaca,BCH,https://www.coursicle.com/uottawaca/courses/BCH/
uottawaca,BIL,https://www.coursicle.com/uottawaca/courses/BIL/
uottawaca,BIM,https://www.coursicle.com/uottawaca/courses/BIM/
uottawaca,BIO,https://www.coursicle.com/uottawaca/courses/BIO/
uottawaca,BMG,https://www.coursicle.com/uottawaca/courses/BMG/
uottawaca,BML,https://www.coursicle.com/uottawaca/courses/BML/
uottawaca,BNF,https://www.coursicle.com/uottawaca/courses/BNF/
uottawaca,BPS,https://www.coursicle.com/uottawaca/courses/BPS/
uottawaca,CEG,https://www.coursicle.com/uottawaca/courses/CEG/
uottawaca,CHG,https://www.coursicle.com/uottawaca/courses/CHG/
uottawaca,CHM,https://www.coursicle.com/uottawaca/courses/CHM/
uottawaca,CHN,https://www.coursicle.com/uottawaca/courses/CHN/
uottawaca,CIN,https://www.coursicle.com/uottawaca/courses/CIN/
uottawaca,CLA,https://www.coursicle.com/uottawaca/courses/CLA/
uottawaca,CLI,https://www.coursicle.com/uottawaca/courses/CLI/
uottawaca,CLT,https://www.coursicle.com/uottawaca/courses/CLT/
uottawaca,CML,https://www.coursicle.com/uottawaca/courses/CML/
uottawaca,CMM,https://www.coursicle.com/uottawaca/courses/CMM/
uottawaca,CMN,https://www.coursicle.com/uottawaca/courses/CMN/
uottawaca,CPL,https://www.coursicle.com/uottawaca/courses/CPL/
uottawaca,CPT,https://www.coursicle.com/uottawaca/courses/CPT/
uottawaca,CRM,https://www.coursicle.com/uottawaca/courses/CRM/
uottawaca,CSI,https://www.coursicle.com/uottawaca/courses/CSI/
uottawaca,CVG,https://www.coursicle.com/uottawaca/courses/CVG/
uottawaca,DCC,https://www.coursicle.com/uottawaca/courses/DCC/
uottawaca,DCL,https://www.coursicle.com/uottawaca/courses/DCL/
uottawaca,DCN,https://www.coursicle.com/uottawaca/courses/DCN/
uottawaca,DHN,https://www.coursicle.com/uottawaca/courses/DHN/
uottawaca,DLS,https://www.coursicle.com/uottawaca/courses/DLS/
uottawaca,DRC,https://www.coursicle.com/uottawaca/courses/DRC/
uottawaca,DTI,https://www.coursicle.com/uottawaca/courses/DTI/
uottawaca,DVM,https://www.coursicle.com/uottawaca/courses/DVM/
uottawaca,EAS,https://www.coursicle.com/uottawaca/courses/EAS/
uottawaca,ECH,https://www.coursicle.com/uottawaca/courses/ECH/
uottawaca,ECO,https://www.coursicle.com/uottawaca/courses/ECO/
uottawaca,EDU,https://www.coursicle.com/uottawaca/courses/EDU/
uottawaca,EED,https://www.coursicle.com/uottawaca/courses/EED/
uottawaca,EFR,https://www.coursicle.com/uottawaca/courses/EFR/
uottawaca,EHA,https://www.coursicle.com/uottawaca/courses/EHA/
uottawaca,ELA,https://www.coursicle.com/uottawaca/courses/ELA/
uottawaca,ELE,https://www.coursicle.com/uottawaca/courses/ELE/
uottawaca,ELG,https://www.coursicle.com/uottawaca/courses/ELG/
uottawaca,EMP,https://www.coursicle.com/uottawaca/courses/EMP/
uottawaca,ENG,https://www.coursicle.com/uottawaca/courses/ENG/
uottawaca,ENV,https://www.coursicle.com/uottawaca/courses/ENV/
uottawaca,EPI,https://www.coursicle.com/uottawaca/courses/EPI/
uottawaca,ERG,https://www.coursicle.com/uottawaca/courses/ERG/
uottawaca,ESG,https://www.coursicle.com/uottawaca/courses/ESG/
uottawaca,ESL,https://www.coursicle.com/uottawaca/courses/ESL/
uottawaca,ESP,https://www.coursicle.com/uottawaca/courses/ESP/
uottawaca,EVD,https://www.coursicle.com/uottawaca/courses/EVD/
uottawaca,EVG,https://www.coursicle.com/uottawaca/courses/EVG/
uottawaca,EVS,https://www.coursicle.com/uottawaca/courses/EVS/
uottawaca,FEM,https://www.coursicle.com/uottawaca/courses/FEM/
uottawaca,FLS,https://www.coursicle.com/uottawaca/courses/FLS/
uottawaca,FRA,https://www.coursicle.com/uottawaca/courses/FRA/
uottawaca,FSS,https://www.coursicle.com/uottawaca/courses/FSS/
uottawaca,GEG,https://www.coursicle.com/uottawaca/courses/GEG/
uottawaca,GEO,https://www.coursicle.com/uottawaca/courses/GEO/
uottawaca,GLO,https://www.coursicle.com/uottawaca/courses/GLO/
uottawaca,GNG,https://www.coursicle.com/uottawaca/courses/GNG/
uottawaca,GRT,https://www.coursicle.com/uottawaca/courses/GRT/
uottawaca,HIS,https://www.coursicle.com/uottawaca/courses/HIS/
uottawaca,HMG,https://www.coursicle.com/uottawaca/courses/HMG/
uottawaca,HSS,https://www.coursicle.com/uottawaca/courses/HSS/
uottawaca,IAI,https://www.coursicle.com/uottawaca/courses/IAI/
uottawaca,ILA,https://www.coursicle.com/uottawaca/courses/ILA/
uottawaca,ISI,https://www.coursicle.com/uottawaca/courses/ISI/
uottawaca,ISP,https://www.coursicle.com/uottawaca/courses/ISP/
uottawaca,ITA,https://www.coursicle.com/uottawaca/courses/ITA/
uottawaca,ITI,https://www.coursicle.com/uottawaca/courses/ITI/
uottawaca,JCS,https://www.coursicle.com/uottawaca/courses/JCS/
uottawaca,JOU,https://www.coursicle.com/uottawaca/courses/JOU/
uottawaca,JPN,https://www.coursicle.com/uottawaca/courses/JPN/
uottawaca,LCL,https://www.coursicle.com/uottawaca/courses/LCL/
uottawaca,LCM,https://www.coursicle.com/uottawaca/courses/LCM/
uottawaca,LIN,https://www.coursicle.com/uottawaca/courses/LIN/
uottawaca,LSR,https://www.coursicle.com/uottawaca/courses/LSR/
uottawaca,MBA,https://www.coursicle.com/uottawaca/courses/MBA/
uottawaca,MCG,https://www.coursicle.com/uottawaca/courses/MCG/
uottawaca,MDV,https://www.coursicle.com/uottawaca/courses/MDV/
uottawaca,MED,https://www.coursicle.com/uottawaca/courses/MED/
uottawaca,MEM,https://www.coursicle.com/uottawaca/courses/MEM/
uottawaca,MGT,https://www.coursicle.com/uottawaca/courses/MGT/
uottawaca,MHA,https://www.coursicle.com/uottawaca/courses/MHA/
uottawaca,MHS,https://www.coursicle.com/uottawaca/courses/MHS/
uottawaca,MIC,https://www.coursicle.com/uottawaca/courses/MIC/
uottawaca,MUS,https://www.coursicle.com/uottawaca/courses/MUS/
uottawaca,NSC,https://www.coursicle.com/uottawaca/courses/NSC/
uottawaca,NSG,https://www.coursicle.com/uottawaca/courses/NSG/
uottawaca,NUT,https://www.coursicle.com/uottawaca/courses/NUT/
uottawaca,OMT,https://www.coursicle.com/uottawaca/courses/OMT/
uottawaca,ORA,https://www.coursicle.com/uottawaca/courses/ORA/
uottawaca,PAP,https://www.coursicle.com/uottawaca/courses/PAP/
uottawaca,PBH,https://www.coursicle.com/uottawaca/courses/PBH/
uottawaca,PDP,https://www.coursicle.com/uottawaca/courses/PDP/
uottawaca,PED,https://www.coursicle.com/uottawaca/courses/PED/
uottawaca,PHA,https://www.coursicle.com/uottawaca/courses/PHA/
uottawaca,PHI,https://www.coursicle.com/uottawaca/courses/PHI/
uottawaca,PHM,https://www.coursicle.com/uottawaca/courses/PHM/
uottawaca,PHR,https://www.coursicle.com/uottawaca/courses/PHR/
uottawaca,PHS,https://www.coursicle.com/uottawaca/courses/PHS/
uottawaca,PHT,https://www.coursicle.com/uottawaca/courses/PHT/
uottawaca,PHY,https://www.coursicle.com/uottawaca/courses/PHY/
uottawaca,PLN,https://www.coursicle.com/uottawaca/courses/PLN/
uottawaca,PME,https://www.coursicle.com/uottawaca/courses/PME/
uottawaca,POL,https://www.coursicle.com/uottawaca/courses/POL/
uottawaca,POP,https://www.coursicle.com/uottawaca/courses/POP/
uottawaca,POR,https://www.coursicle.com/uottawaca/courses/POR/
uottawaca,PSY,https://www.coursicle.com/uottawaca/courses/PSY/
uottawaca,RCH,https://www.coursicle.com/uottawaca/courses/RCH/
uottawaca,REA,https://www.coursicle.com/uottawaca/courses/REA/
uottawaca,RUP,https://www.coursicle.com/uottawaca/courses/RUP/
uottawaca,RUS,https://www.coursicle.com/uottawaca/courses/RUS/
uottawaca,SAI,https://www.coursicle.com/uottawaca/courses/SAI/
uottawaca,SCI,https://www.coursicle.com/uottawaca/courses/SCI/
uottawaca,SCS,https://www.coursicle.com/uottawaca/courses/SCS/
uottawaca,SDS,https://www.coursicle.com/uottawaca/courses/SDS/
uottawaca,SEC,https://www.coursicle.com/uottawaca/courses/SEC/
uottawaca,SED,https://www.coursicle.com/uottawaca/courses/SED/
uottawaca,SEG,https://www.coursicle.com/uottawaca/courses/SEG/
uottawaca,SOC,https://www.coursicle.com/uottawaca/courses/SOC/
uottawaca,SRS,https://www.coursicle.com/uottawaca/courses/SRS/
uottawaca,SVS,https://www.coursicle.com/uottawaca/courses/SVS/
uottawaca,SYS,https://www.coursicle.com/uottawaca/courses/SYS/
uottawaca,THD,https://www.coursicle.com/uottawaca/courses/THD/
uottawaca,THE,https://www.coursicle.com/uottawaca/courses/THE/
uottawaca,THM,https://www.coursicle.com/uottawaca/courses/THM/
uottawaca,TMM,https://www.coursicle.com/uottawaca/courses/TMM/
uottawaca,TOX,https://www.coursicle.com/uottawaca/courses/TOX/
uottawaca,TRA,https://www.coursicle.com/uottawaca/courses/TRA/
uottawaca,YDD,https://www.coursicle.com/uottawaca/courses/YDD/
