university,course_code,title,url
Stanford,CS 1U,Practical Unix,https://www.coursicle.com/stanford/courses/CS/1U/
Stanford,CS 7,Personal Finance for Engineers,https://www.coursicle.com/stanford/courses/CS/7/
Stanford,CS 9,Problem-Solving for the CS Technical Interview,https://www.coursicle.com/stanford/courses/CS/9/
Stanford,CS 11SI,How to Make VR: Introduction to Virtual Reality Design and D...,https://www.coursicle.com/stanford/courses/CS/11SI/
Stanford,CS 20,Tensorflow for Deep Learning Research,https://www.coursicle.com/stanford/courses/CS/20/
Stanford,CS 21SI,AI for Social Good,https://www.coursicle.com/stanford/courses/CS/21SI/
Stanford,CS 22A,The Social & Economic Impact of Artificial Intelligence,https://www.coursicle.com/stanford/courses/CS/22A/
Stanford,CS 28,"Artificial Intelligence, Entrepreneurship and Society in the...",https://www.coursicle.com/stanford/courses/CS/28/
Stanford,CS 41,Hap.py Code: the Python Programming Language,https://www.coursicle.com/stanford/courses/CS/41/
Stanford,CS 42,Callback Me Maybe: Contemporary Javascript,https://www.coursicle.com/stanford/courses/CS/42/
Stanford,CS 43,Functional Programming in Clojure,https://www.coursicle.com/stanford/courses/CS/43/
Stanford,CS 45N,Computers and Photography: From Capture to Sharing,https://www.coursicle.com/stanford/courses/CS/45N/
Stanford,CS 47,Cross-Platform Mobile Development,https://www.coursicle.com/stanford/courses/CS/47/
Stanford,CS 47SI,Cross-Platform Mobile Development,https://www.coursicle.com/stanford/courses/CS/47SI/
Stanford,CS 49N,Using Bits to Control Atoms,https://www.coursicle.com/stanford/courses/CS/49N/
Stanford,CS 50,Using Tech for Good,https://www.coursicle.com/stanford/courses/CS/50/
Stanford,CS 51,Cs + Social Good Studio: Designing Social Impact Projects,https://www.coursicle.com/stanford/courses/CS/51/
Stanford,CS 52,CS + Social Good Studio: Implementing Social Good Projects,https://www.coursicle.com/stanford/courses/CS/52/
Stanford,CS 53SI,Discussion in Tech for Good,https://www.coursicle.com/stanford/courses/CS/53SI/
Stanford,CS 56N,Great Discoveries and Inventions in Computing,https://www.coursicle.com/stanford/courses/CS/56N/
Stanford,CS 57N,Randomness: Computational and Philosophical Approaches,https://www.coursicle.com/stanford/courses/CS/57N/
Stanford,CS 58N,The Blockchain Revolution Will Not Be Televised,https://www.coursicle.com/stanford/courses/CS/58N/
Stanford,CS 62N,Let There Be Computations,https://www.coursicle.com/stanford/courses/CS/62N/
Stanford,CS 80Q,Race and Gender in Silicon Valley,https://www.coursicle.com/stanford/courses/CS/80Q/
Stanford,CS 81SI,AI Interpretability and Fairness,https://www.coursicle.com/stanford/courses/CS/81SI/
Stanford,CS 82SI,Wellness in Tech: Designing an Intentional Lifestyle in a Te...,https://www.coursicle.com/stanford/courses/CS/82SI/
Stanford,CS 83,Playback Theater,https://www.coursicle.com/stanford/courses/CS/83/
Stanford,CS 84,Emotional Intelligence,https://www.coursicle.com/stanford/courses/CS/84/
Stanford,CS 91SI,Digital Canvas: an Introduction to UI/UX Design,https://www.coursicle.com/stanford/courses/CS/91SI/
Stanford,CS 93,Teaching AI,https://www.coursicle.com/stanford/courses/CS/93/
Stanford,CS 100A,Problem-solving Lab for CS106A,https://www.coursicle.com/stanford/courses/CS/100A/
Stanford,CS 101,Introduction to Computing Principles,https://www.coursicle.com/stanford/courses/CS/101/
Stanford,CS 102,Working with Data - Tools and Techniques,https://www.coursicle.com/stanford/courses/CS/102/
Stanford,CS 103,Mathematical Foundations of Computing,https://www.coursicle.com/stanford/courses/CS/103/
Stanford,CS 103A,Mathematical Problem-solving Strategies,https://www.coursicle.com/stanford/courses/CS/103A/
Stanford,CS 105,Introduction to Computers,https://www.coursicle.com/stanford/courses/CS/105/
Stanford,CS 106A,Programming Methodology,https://www.coursicle.com/stanford/courses/CS/106A/
Stanford,CS 106B,Programming Abstractions,https://www.coursicle.com/stanford/courses/CS/106B/
Stanford,CS 106E,Exploration of Computing,https://www.coursicle.com/stanford/courses/CS/106E/
Stanford,CS 106L,Standard C++ Programming Laboratory,https://www.coursicle.com/stanford/courses/CS/106L/
Stanford,CS 106S,Coding for Social Good,https://www.coursicle.com/stanford/courses/CS/106S/
Stanford,CS 106X,Programming Abstractions (Accelerated),https://www.coursicle.com/stanford/courses/CS/106X/
Stanford,CS 106AJ,Programming Methodology in JavaScript,https://www.coursicle.com/stanford/courses/CS/106AJ/
Stanford,CS 106AP,Programming Methodology in Python,https://www.coursicle.com/stanford/courses/CS/106AP/
Stanford,CS 106AX,Programming Methodologies in JavaScript and Python (Accelera...,https://www.coursicle.com/stanford/courses/CS/106AX/
Stanford,CS 107,Computer Organization and Systems,https://www.coursicle.com/stanford/courses/CS/107/
Stanford,CS 107A,Problem-solving Lab for CS107,https://www.coursicle.com/stanford/courses/CS/107A/
Stanford,CS 107E,Computer Systems from the Ground Up,https://www.coursicle.com/stanford/courses/CS/107E/
Stanford,CS 108,Object-Oriented Systems Design,https://www.coursicle.com/stanford/courses/CS/108/
Stanford,CS 109,Introduction to Probability for Computer Scientists,https://www.coursicle.com/stanford/courses/CS/109/
Stanford,CS 110,Principles of Computer Systems,https://www.coursicle.com/stanford/courses/CS/110/
Stanford,CS 110L,Principles of Computer Systems Laboratory,https://www.coursicle.com/stanford/courses/CS/110L/
Stanford,CS 124,From Languages to Information,https://www.coursicle.com/stanford/courses/CS/124/
