university,department_code,url
mit,1,https://www.coursicle.com/mit/courses/1/
mit,10,https://www.coursicle.com/mit/courses/10/
mit,11,https://www.coursicle.com/mit/courses/11/
mit,12,https://www.coursicle.com/mit/courses/12/
mit,14,https://www.coursicle.com/mit/courses/14/
mit,15,https://www.coursicle.com/mit/courses/15/
mit,16,https://www.coursicle.com/mit/courses/16/
mit,17,https://www.coursicle.com/mit/courses/17/
mit,18,https://www.coursicle.com/mit/courses/18/
mit,2,https://www.coursicle.com/mit/courses/2/
mit,20,https://www.coursicle.com/mit/courses/20/
mit,21,https://www.coursicle.com/mit/courses/21/
mit,21A,https://www.coursicle.com/mit/courses/21A/
mit,21G,https://www.coursicle.com/mit/courses/21G/
mit,21H,https://www.coursicle.com/mit/courses/21H/
mit,21L,https://www.coursicle.com/mit/courses/21L/
mit,21M,https://www.coursicle.com/mit/courses/21M/
mit,21T,https://www.coursicle.com/mit/courses/21T/
mit,21W,https://www.coursicle.com/mit/courses/21W/
mit,22,https://www.coursicle.com/mit/courses/22/
mit,24,https://www.coursicle.com/mit/courses/24/
mit,3,https://www.coursicle.com/mit/courses/3/
mit,4,https://www.coursicle.com/mit/courses/4/
mit,5,https://www.coursicle.com/mit/courses/5/
mit,6,https://www.coursicle.com/mit/courses/6/
mit,7,https://www.coursicle.com/mit/courses/7/
mit,8,https://www.coursicle.com/mit/courses/8/
mit,9,https://www.coursicle.com/mit/courses/9/
mit,AS,https://www.coursicle.com/mit/courses/AS/
mit,CC,https://www.coursicle.com/mit/courses/CC/
mit,CMS,https://www.coursicle.com/mit/courses/CMS/
mit,CSB,https://www.coursicle.com/mit/courses/CSB/
mit,CSE,https://www.coursicle.com/mit/courses/CSE/
mit,EC,https://www.coursicle.com/mit/courses/EC/
mit,EM,https://www.coursicle.com/mit/courses/EM/
mit,ES,https://www.coursicle.com/mit/courses/ES/
mit,HST,https://www.coursicle.com/mit/courses/HST/
mit,IDS,https://www.coursicle.com/mit/courses/IDS/
mit,MAS,https://www.coursicle.com/mit/courses/MAS/
mit,MS,https://www.coursicle.com/mit/courses/MS/
mit,NS,https://www.coursicle.com/mit/courses/NS/
mit,SCM,https://www.coursicle.com/mit/courses/SCM/
mit,SP,https://www.coursicle.com/mit/courses/SP/
mit,STS,https://www.coursicle.com/mit/courses/STS/
mit,WGS,https://www.coursicle.com/mit/courses/WGS/
