name,location,country,subdomain,url
Southern New Hampshire University,"Manchester, New Hampshire",🇺🇸,snhu,https://www.coursicle.com/snhu/
"Ivy Tech Community College, Indianapolis","Indianapolis, Indiana",🇺🇸,ivytechindianapolis,https://www.coursicle.com/ivytechindianapolis/
Arizona State University,"Tempe, Arizona",🇺🇸,asu,https://www.coursicle.com/asu/
Texas A&M University,"College Station, Texas",🇺🇸,tamu,https://www.coursicle.com/tamu/
University of Central Florida,"Orlando, Florida",🇺🇸,ucf,https://www.coursicle.com/ucf/
The University of British Columbia,"Vancouver, British Columbia",🇨🇦,ubc,https://www.coursicle.com/ubc/
University of Maryland Global Campus,"Adelphi, Maryland",🇺🇸,umgc,https://www.coursicle.com/umgc/
Ohio State University,"Columbus, Ohio",🇺🇸,osu,https://www.coursicle.com/osu/
Miami Dade College,"Miami, Florida",🇺🇸,mdc,https://www.coursicle.com/mdc/
New York University,"New York, New York",🇺🇸,nyu,https://www.coursicle.com/nyu/
University of Illinois at Urbana-Champaign,"Champaign, Illinois",🇺🇸,illinois,https://www.coursicle.com/illinois/
"Miami Dade College, Kendall","Miami, Florida",🇺🇸,mdckendall,https://www.coursicle.com/mdckendall/
University of Washington,"Seattle, Washington",🇺🇸,uw,https://www.coursicle.com/uw/
"University of Minnesota, Twin Cities","Minneapolis, Minnesota",🇺🇸,umn,https://www.coursicle.com/umn/
University of Florida,"Gainesville, Florida",🇺🇸,ufl,https://www.coursicle.com/ufl/
Florida International University,"Miami, Florida",🇺🇸,fiu,https://www.coursicle.com/fiu/
"Northern Virginia Community College, Woodbridge","Woodbridge, Virginia",🇺🇸,nvccwoodbridge,https://www.coursicle.com/nvccwoodbridge/
University of Texas at Austin,"Austin, Texas",🇺🇸,utexas,https://www.coursicle.com/utexas/
University of Arizona,"Tucson, Arizona",🇺🇸,arizona,https://www.coursicle.com/arizona/
Purdue University,"West Lafayette, Indiana",🇺🇸,purdue,https://www.coursicle.com/purdue/
University of Michigan,"Ann Arbor, Michigan",🇺🇸,umich,https://www.coursicle.com/umich/
Michigan State University,"East Lansing, Michigan",🇺🇸,msu,https://www.coursicle.com/msu/
Rutgers University - New Brunswick,"New Brunswick, New Jersey",🇺🇸,rutgers,https://www.coursicle.com/rutgers/
Pennsylvania State University,"University Park, Pennsylvania",🇺🇸,psu,https://www.coursicle.com/psu/
"Houston Community College, Central","Houston, Texas",🇺🇸,centralhccs,https://www.coursicle.com/centralhccs/
University of Wisconsin-Madison,"Madison, Wisconsin",🇺🇸,wisc,https://www.coursicle.com/wisc/
University of South Florida,"Tampa, Florida",🇺🇸,usf,https://www.coursicle.com/usf/
Georgia Institute of Technology,"Atlanta, Georgia",🇺🇸,gatech,https://www.coursicle.com/gatech/
Indiana University Bloomington,"Bloomington, Indiana",🇺🇸,indiana,https://www.coursicle.com/indiana/
University of North Texas,"Denton, Texas",🇺🇸,unt,https://www.coursicle.com/unt/
Tarrant County College,"Fort Worth, Texas",🇺🇸,tccd,https://www.coursicle.com/tccd/
University of Southern California,"Los Angeles, California",🇺🇸,usc,https://www.coursicle.com/usc/
"University of California, Los Angeles","Los Angeles, California",🇺🇸,ucla,https://www.coursicle.com/ucla/
University of Houston,"Houston, Texas",🇺🇸,uh,https://www.coursicle.com/uh/
Concordia University,"Montreal, Quebec",🇨🇦,concordiaca,https://www.coursicle.com/concordiaca/
"University of California, Berkeley","Berkeley, California",🇺🇸,berkeley,https://www.coursicle.com/berkeley/
Kennesaw State University,"Kennesaw, Georgia",🇺🇸,kennesaw,https://www.coursicle.com/kennesaw/
Utah Valley University,"Orem, Utah",🇺🇸,uvu,https://www.coursicle.com/uvu/
University of Texas at Arlington,"Arlington, Texas",🇺🇸,uta,https://www.coursicle.com/uta/
University of Cincinnati,"Cincinnati, Ohio",🇺🇸,uc,https://www.coursicle.com/uc/
"Valencia College, Winter Park","Winter Park, Florida",🇺🇸,valenciacollegewp,https://www.coursicle.com/valenciacollegewp/
University of Ottawa,"Ottawa, Ontario",🇨🇦,uottawaca,https://www.coursicle.com/uottawaca/
"University of California, San Diego","La Jolla, California",🇺🇸,ucsd,https://www.coursicle.com/ucsd/
University of Waterloo,"Waterloo, Ontario",🇨🇦,uwaterloo,https://www.coursicle.com/uwaterloo/
"California State University, Fullerton","Fullerton, California",🇺🇸,fullerton,https://www.coursicle.com/fullerton/
University of Georgia,"Athens, Georgia",🇺🇸,uga,https://www.coursicle.com/uga/
University of Colorado Boulder,"Boulder, Colorado",🇺🇸,colorado,https://www.coursicle.com/colorado/
"University of Maryland, College Park","College Park, Maryland",🇺🇸,umd,https://www.coursicle.com/umd/
Texas Tech University,"Lubbock, Texas",🇺🇸,ttu,https://www.coursicle.com/ttu/
McGill University,"Montreal, Quebec",🇨🇦,mcgillca,https://www.coursicle.com/mcgillca/
"University of California, Davis","Davis, California",🇺🇸,ucdavis,https://www.coursicle.com/ucdavis/
